,reviews
244,"In blended whisky terms, this isn’t for the faint-hearted, and joins a number of recent releases prepared to show off its
darker, grittier side. It’s a big flavored blend, with its heart in the islands, and with oily coastal notes reminiscent of a delicatessen: brine, salty cheese, some crab apple relish, and smoked fish. It’s a rugged bruiser, but it makes its mark with some style."
245,"Standard blends fall into two categories: those that will behave nicely when mixed to offer almost non-whisky experience, and those that are feistier and want to make sure you know they’re there. This is the former, and with whiskies like this one, it’s possible to blink and miss it. That doesn’t make it bad; just indistinctive and unexceptional. There is little sign of the wood here, but the delicate, sweet apricot notes just do enough."
246,"Naming your blend “Sherry Cask” retains an air of ambiguity to it. Theoretically, it could be the maturation or finishing vessel for all or some of the constituents. The whisky is light-bodied and the sweet sherry is evident, though a nip of bitterness interrupts. Smoother on the palate than the 12 year old, there’s strawberry, raspberry, and background spice, with a blackberry note late in the finish. Overall, there’s less flavor development, but it’s an old-school kind of blend."
247,"America, Walker wants your cocktails. Emma Walker that is, the blender whose signature adorns the first of these experimental expressions. Toffee Speyside nose, digestive biscuits, cinnamon, cool mint, and a pronounced grain note from Port Dundas. Orange, lime peel, lovely caramel richness, and creamy toffee through dilution. The brand’s second consecutive rye cask finish: you noticed too? Up against its sibling, JW Select Rye Cask, there are certain similarities, but this is fruitier, less intricate, and less rich and spicy."
248,"This blend is generously half malt and half grain, unusually selecting 16-18 year old malts. The result has a nose of rich honey and florals, resplendent in a citrus intensity: squeezed orange skin with a background note of dry crackers. The palate is orange and malty, with cola, faint spices, and a little waxiness, but the core feels a little hollow. A good length finish where the pleasant buzz has a slight peatiness rubbed in. A decent stand-up dram."
249,"Quite fragrant and fairly sweet (but not cloyingly so), rich with nutty toffee, nougat, and bright summer fruits. Clean, gently sweet finish. Well rounded, nicely matured for its age and, at $30, a good value these days. A versatile whisky to keep in the drinks cabinet; it’s enjoyable enough sipping neat or with a splash of water, but (at this price) you won’t cringe if your guests drink it on the rocks or use it as a mixer. "
250,"Batch 1 of this new blend brings oxidized apple, maple syrup, crispy potato skins, soft spices, and nutmeg grated over eggnog. Rich strands of citrus, mint, and raisins mingle, building in intensity to greater spiciness at the swallow, where ginger and burnt sugar emerges. Undiluted, there is a hot, spicy, slightly acrid finish dominated by the ginger. Water adds melon, mandarin, and apple and manages to keep the ginger in check. £40"
251,"Delicate nose of sherbet and melting heather honey layered over pleasant grassy and herbal notes. The texture is sweet, thin, and syrupy, with a slight vegetal note, before salted caramel reels it in, brimming over into a briny finish like a salty kiss. The grain clearly plays a major role. Truth be told, the aromas and flavors work well, but the lack of weight makes it feel like a tiddler rather than catch of the day. (Selected U.S. states, NZ, Switzerland)."
252,"Aromas of liquid honey, light toffee, dried apple, and satsuma peel. There is an initial citric attack, but when the flare dies down, a residual bitterness cuts through the underlying creaminess and caramel. Sure, its component whiskies lack substance and grip, but there is some flavor progression through to an enjoyable piquancy around the gums. The finish is a nippy buzz of peel and heather honey. Simple, uncomplicated, but for the price there’s plenty to like here."
253,"From the perfumed nose to the sweet and short finish, this blend doesn’t really put a foot wrong, but it’s shy and unadventurous.
Clearly well made, well balanced, and quite acceptable, it has a perfumed black currant sherbet nose, some slight but enjoyable blueberry, grape, and prune notes and a soft sweet conclusion. On its own, all fine: but it gets lost when in company."
254,"Douglas Laing follows up its award winning, Islay-soaked Big Peat with this, a sherried Speyside whisky. Just as Big Peat looks like Captain Haddock from Tintin, Scallywag on the label is a dead ringer for Snowy, though the official story is different. Anyway, this whisky isn't a patch on the Islay monster. Rootsy green salad malt is only partially rescued by the trademark Christmas cake and stewed fruits. Likeable, but not a classic. £45"
255,"A pleasant nose of light caramel, dried orange rind, butterscotch, sweet grain, and a lick of bonfire smoke, yet it’s like the volume has been dialed down to three. Delicate, to the point of shyness. Sweet barley, concentrated orange, a low rumble of spice, and the grain sings through. Accessible, well structured, and light-textured, leading to a finish of brown sugar around the gums, although it has a stronger grain character than many in its price range."
256,"A light, oily nose, a little nutty, baked apple, cinnamon, nutmeg, and malt biscuits. There are seductive dark spices and cooked fruit, almost savory, like lifting the lid on a tagine. A thinner mouthfeel showing some lime zest before a warm, enveloping glow of malt sweetness, gentle spice, toffee, raisin, and char emerges. Savory, peppery finish. Like nightfall, it gets darker the longer you contemplate it. With water, sweeter with more candied citrus as honeys materialize."
257,"At 8 years old, there are stiff caramels, malt, oatcakes, Genoise sponge, and zested clementines on the nose. It doesn’t stint on flavor when it comes to the taste, bringing dried fig rolls, chewy toffee, Aunt Sally pralines, walnuts, and chocolate ganache to the party. It’s driven by dry fruit rather than sweetness, and there is a bitter edge to the swallow that persists into the finish. £35"
258,"This venerable blend has a nose of mandarin syrup cake, vanilla cream, and cut hay, with chopped cilantro and other herbal top notes. Sweet and fruity, though verging on tasting of artificial sweeteners at times, there are malt notes and a developing butteriness, with sweet mandarin notes and sponge cake. It all hangs on a light structure but it’s less smooth on the finish, with a scratch of wood smoke."
259,"MacQueen’s has an impressive range of age statement blends, but this is the youngest one. Faint caramel and toast, a mild rub of whole spice, and snuff tobacco. The mouthfeel is meager and lacks any real punch; there is spice and fudge, but little sweetness. More caramel flavors develop alongside chocolate notes before a dry, quick finish. There are better options around, even at this price."
260,"You’re familiar with those generic blended Scotch whiskies of debatable origin with an inoffensive flavor profile, right? This isn’t one of those. With aromas of the fruit and foliage of an orange grove, beeswax, and a grassy note, this is a juicy, citrus-led dram that puffs out in the mouth, bringing a tingle of light pepper, ginger, and thick fudge. Despite the thinner mouthfeel, the baked orange and bitter Seville orange on the finish give it some bite. Perfectly serviceable."
261,"The nice thing about Islay whiskies is that they often show their true nature better at a younger age. Malty sweet and incredibly herbal (almost gin-like), with emerging tar, smoked seaweed, and olive. Medicinal in nature, with lingering tar and brine on the finish. Fairly straight-forward (what do you expect for 8 years old?) but a pretty decent showing for a whisky this young."
262,"What does this say about how far whisky has come? We live in an era where you can now buy the official whisky from a major motion picture. This has a deep amber color. Really deep. The nose brings warm muffins, caramel, and grassy notes with a good dose of smoke. It’s a sweet concoction with a peppery kick. There’s a tinge of polypropylene before a short, clipped, spicy finish. It just needs to find more of its own identity."
263,"Meaning “son of the sea,” this MacNaMara has a lilting sweetness that lifts from the glass, the characteristic orange-peel oil note is present, but less assertive. Nectarine, Murray mints, and antique shop mustiness, but a lot less aromatic than many of its contemporaries. Flavors of sweet melon, golden honey, and tangy orange take off in the mouth, with tastes of white pepper, fennel, and ground ginger in hot pursuit. Pepperiness penetrates an otherwise juicy finish."
264,"The range begins with this entry-level whisky, aged for 3 years. Aromas of pale toffee, vanilla, and scented, herbaceous notes can be found on the nose. It has a light, silky texture and comprises flavors of stewed fruits, with a slight bitterness behind them. Plum and coffee notes expand, though it remains tart through to the buzzy finish, which is lifted by hints of chocolate. A robust and pugnacious dram."
265,"This Highland blend has a nose of lemon peel, tangerine, and pine-scented kitchen surfaces. The whisky is young, with a sweet mandarin dressing over the grain character, barley sugars, and a gentle rumble of spice. What it lacks at this age is mouthfeel, structure, and wood influence. The finish continues the sugared orange theme, with spice and ground pepper fading to soor plooms. For what can be expected at this age, the Clansman does its job well."
266,"Robert McNish conceived his recipe for a lighter style of Highland whisky in Glasgow in 1863 (though the brand added an ‘a’ to his surname for easier pronunciation). Whole orange, ground hazelnut, and ground ginger on the nose, though it keeps pretty tight-lipped. Light and sweet in the mouth, with mandarin and more pronounced ginger mid-palate before a medium-length finish of bubblegum and gooseberry. It just seems a little uninspiring given the special occasion."
267,"Auchnagie (1812–1911) was a southern Highland distillery that existed for close to a century near Balluinluig, south of Pitlochry. This reanimation is pale yellow in color with an abundance of young, green herbal, and foliage notes, with summer ferns, cardamom pods, and green tea. It has an ethereal, gossamer-like texture, with green apple, melon boats, and soft honey. As the layers peel away, the sweetness is dabbed with spices and black pepper before it peters out."
268,"This amber-colored blend from the Gaelic Whisky Company has sweet barley notes and gentle spice aromas. The caramels prop up the dominant flavor of cold-pressed orange oil squeezed from the peel. A crescendo of peppery spice marks the late phase and distinguishes the swallow, before a finish of tangy citrus peel with a touch of clove. Perfectly straightforward blend but limited in scope, like a linear dot-to-dot connecting barley, orange peel, and spice."
